ALL,,EFSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,213,1.64,7.58,195,15.91,18.77,198,23.58,65.47,144,1.55,12.30
90%,212,2.58,10.63,194,47.03,33.75,182,59.15,116.03,144,2.48,32.17
95%,212,8.08,14.49,192,68.69,56.47,179,79.50,149.63,144,3.98,58.55
98%,206,14.16,39.93,181,101.61,131.01,165,116.70,164.33,144,7.17,82.89
99%,200,25.61,89.61,166,123.13,216.84,145,114.72,160.36,144,12.27,121.09
99.50%,196,25.58,142.96,142,122.61,157.18,126,108.44,151.88,143,17.42,99.29
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_BV,,EFSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time
80%,157,1.52,9.15,155,17.05,23.07,155,25.80,82.70,144,1.55,12.30
90%,156,2.38,12.83,155,51.72,40,154,64.91,133.32,144,2.48,32.17
95%,156,3.87,17.07,153,73.41,64.72,153,83.41,159.05,144,3.98,58.55
98%,156,8.82,48.02,148,101.14,137.23,149,106.91,163.05,144,7.17,82.89
99%,156,19.38,78.82,140,117.72,225.28,136,118.15,163.59,144,12.27,121.09
99.50%,156,22.85,100.78,119,113.39,148.68,118,109.31,149.60,143,17.42,99.29
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_ABV,,EFSampler,,,SMTSampler,,,GuidedSampler,,,,
coverage,#succ,#case,#time,#succ,#case,#time,#succ,#case,#time,,,
80%,56,1.98,3.17,40,11.48,2.11,43,15.56,3.38,,,
90%,56,3.11,4.51,39,28.38,8.89,28,27.50,20.95,,,
95%,56,19.84,7.31,39,50.18,24.08,26,56.54,94.19,,,
98%,50,30.80,14.69,33,103.76,103.08,16,207.88,176.17,,,
99%,44,47.66,127.88,26,152.27,171.43,9,62.89,111.59,,,
99.50%,40,36.23,307.48,23,170.26,201.16,8,95.63,185.39,,,
